Name,Customer_ID,Account_Number,Meter_Number,Age,Location,Income,Purchase_Frequency,Purchase_History,Churn_Status,Customer_Satisfaction_Score,Average_Resolution_Time_Hours,Complaint_Frequency,Transaction_DateTime,Transaction_Reference,Receipt_Number,Payment_Type,Meter_Type,Tariff_Class,Amount_Paid,Units_Purchased,Token,VAT,Service_Charge,Debt_Arrears,Previous_Meter_Reading,Current_Meter_Reading,Energy_Consumption,Billing_Cycle,Billing_Accuracy,Power_Outage_Frequency,Power_Outage_Duration_Hours,Service_Usage
Ethan Ayala,CUST500010,AEDC100010,MTR200010,40,"Apo, Abuja, Nigeria",61302,5,27253.75,Yes,4.68,27.9,0,2025-10-09 01:00:58.962921,5a37e565-1a0c-4e4f-bc43-fa31b1e9557a,RCPT300010,POS,Postpaid,C,4439.5,35.13,,332.96,1622.71,8414.5,4703,4738,35,Feb-2025,0.84,1,0.75,81.9
Julia Davis,CUST500011,AEDC100011,MTR200011,36,"Gwarinpa, Abuja, Nigeria",110804,5,60714.13,No,4.34,30.74,1,2026-01-03 01:52:12.334357,76d0f035-d410-4d46-b47c-91e834f2a60f,RCPT300011,POS,Prepaid,B,11980.37,105.33,83074353004541945360,898.53,1920.44,6869.38,7397,7502,105,Mar-2025,0.96,2,3.0,492.53
Veronica Davis,CUST500012,AEDC100012,MTR200012,38,"Gwagwalada, Abuja, Nigeria",33421,7,19147.8,No,4.05,20.56,1,2026-02-21 10:10:35.562881,3439a560-155d-4403-b387-d95101acbf81,RCPT300012,Cash,Postpaid,A,3176.06,31.3,,238.2,908.69,12101.0,1273,1304,31,Apr-2025,0.82,5,10.85,220.13
Sharon Douglas,CUST500013,AEDC100013,MTR200013,59,"Karu, Abuja, Nigeria",82914,7,31657.57,No,4.49,34.23,0,2025-04-20 05:53:29.604889,5d7e7992-cd6e-4f5a-928a-7ab37b8086e8,RCPT300013,Transfer,Postpaid,C,3768.19,39.24,,282.61,2279.12,29172.6,7571,7610,39,Mar-2025,0.91,3,3.4,249.46
Blake Cobb,CUST500014,AEDC100014,MTR200014,40,"Dutse, Abuja, Nigeria",30424,3,5642.49,Yes,3.29,33.91,4,2025-09-13 03:35:15.993818,f48490a6-a460-41b4-87f7-c3d1a512a528,RCPT300014,Cash,Postpaid,A,1888.11,16.68,,141.61,2290.64,20388.06,2062,2078,16,Feb-2025,0.84,5,11.42,114.59
Mrs. Theresa Cooke DDS,CUST500015,AEDC100015,MTR200015,28,"Jabi, Abuja, Nigeria",48575,4,16045.16,No,3.54,29.58,4,2025-06-25 09:54:18.966401,c097d9eb-2356-4495-b4a5-1ad14e0afcb7,RCPT300015,Mobile App,Prepaid,B,4288.65,35.73,64716802373513051950,321.65,2271.49,25316.66,5787,5822,35,Apr-2025,0.94,7,7.25,204.83
Lisa Payne,CUST500016,AEDC100016,MTR200016,40,"Kubwa, Abuja, Nigeria",93290,14,61546.55,No,3.19,38.55,6,2025-04-23 19:22:42.451701,65671fb5-20dc-4b99-a03a-f114a58dba3a,RCPT300016,POS,Postpaid,A,3681.44,66.42,,276.11,1959.86,9008.3,4883,4949,66,May-2025,0.92,4,4.56,925.84
Kevin Dyer,CUST500017,AEDC100017,MTR200017,44,"Kurudu, Abuja, Nigeria",90065,8,79345.91,No,4.6,20.85,0,2025-07-16 01:08:17.396014,436ba7d9-400b-46ad-93a8-48cfe3a7b9de,RCPT300017,Cash,Postpaid,A,7419.65,73.98,,556.47,2187.92,28750.62,7522,7595,73,Apr-2025,0.86,3,3.86,620.26
Carrie Peterson,CUST500018,AEDC100018,MTR200018,30,"Maitama, Abuja, Nigeria",91649,9,31700.1,No,4.63,33.38,0,2026-03-13 04:35:30.387502,1148f6bf-35e6-49c4-9513-da1678d65feb,RCPT300018,Cash,Postpaid,C,3983.13,34.06,,298.73,1591.43,21536.35,5220,5254,34,Jan-2025,0.89,1,0.8,302.9
Lori Stewart,CUST500019,AEDC100019,MTR200019,47,"Asokoro, Abuja, Nigeria",57404,12,52417.02,No,3.79,36.27,2,2025-06-13 04:47:01.707128,12d4d310-b0ed-4fc6-886a-bbe7bc34700e,RCPT300019,Transfer,Postpaid,B,5029.13,45.14,,377.18,760.14,6879.7,7040,7085,45,Feb-2025,0.84,6,8.95,537.5
Brian Wilson,CUST500020,AEDC100020,MTR200020,35,"Jabi, Abuja, Nigeria",47962,9,28157.49,No,4.01,22.38,1,2025-12-14 23:36:38.625614,13754923-19c5-441f-b080-155f92086f29,RCPT300020,Transfer,Prepaid,A,3090.86,37.7,30579312841304479184,231.81,2413.32,8172.31,3925,3962,37,Jun-2025,0.94,7,11.36,394.21
Max Smith,CUST500021,AEDC100021,MTR200021,28,"Lugbe, Abuja, Nigeria",41178,7,35693.25,No,4.24,18.11,2,2025-07-13 11:03:44.103092,2afa18dd-7aac-44de-99b3-1ed62a43a3c4,RCPT300021,Transfer,Postpaid,B,5163.56,61.14,,387.27,2449.57,15015.17,6862,6923,61,Feb-2025,0.83,5,3.66,379.43
John Mosley,CUST500022,AEDC100022,MTR200022,31,"Asokoro, Abuja, Nigeria",35417,6,29470.16,No,3.66,34.41,3,2026-02-07 19:33:40.665879,8e4625cc-1193-4842-b76d-c6e1c40d22ff,RCPT300022,Mobile App,Postpaid,C,3621.89,54.16,,271.64,883.02,24678.17,5258,5312,54,Jan-2025,0.78,10,7.93,276.85
Kathryn Wright,CUST500023,AEDC100023,MTR200023,35,"Maitama, Abuja, Nigeria",61803,9,33873.73,Yes,3.46,34.67,1,2025-05-28 16:17:31.196006,c5d271da-a28c-472f-a783-c257dbb2a1ac,RCPT300023,Transfer,Prepaid,C,4259.28,36.1,37070599788185654715,319.45,1466.07,29048.53,3428,3464,36,Mar-2025,0.89,7,19.88,345.82
Lauren Nichols,CUST500024,AEDC100024,MTR200024,27,"Kurudu, Abuja, Nigeria",75714,11,108398.26,No,4.01,37.83,1,2025-07-22 21:05:22.712010,2dd6e0e0-d11a-47e7-bfeb-6fcf0492698c,RCPT300024,POS,Postpaid,C,11799.3,148.6,,884.95,2313.8,24012.04,1689,1837,148,May-2025,0.84,5,8.21,1644.35
Michele Pearson,CUST500025,AEDC100025,MTR200025,23,"Karu, Abuja, Nigeria",55205,3,16658.77,No,3.58,19.29,3,2026-01-01 19:22:51.129494,e8745cde-139f-4bfe-8d6a-e45fcc6cc5e8,RCPT300025,Cash,Postpaid,B,5296.16,84.1,,397.21,1629.24,11776.08,3698,3782,84,Feb-2025,0.87,7,12.56,240.31
Mary Nelson,CUST500026,AEDC100026,MTR200026,20,"Karu, Abuja, Nigeria",84856,10,124491.24,No,4.2,28.38,2,2025-06-29 20:06:25.454836,306565c1-a5ee-4bed-816c-75e033675b3a,RCPT300026,Transfer,Prepaid,B,13278.67,235.51,55664941860862048375,995.9,347.59,7565.84,3473,3708,235,May-2025,0.97,3,2.23,2403.14
Joseph Ryan,CUST500027,AEDC100027,MTR200027,56,"Asokoro, Abuja, Nigeria",96198,5,27834.94,No,4.14,28.71,1,2025-06-05 02:10:11.494721,fb3ff039-4c2d-4c20-ac83-0fab5ae9e263,RCPT300027,Cash,Prepaid,A,5737.67,53.43,16860110898173573122,430.33,361.05,23662.32,1612,1665,53,Feb-2025,1.0,4,7.54,180.38
William Oliver,CUST500028,AEDC100028,MTR200028,18,"Gwagwalada, Abuja, Nigeria",81305,12,49772.06,No,4.26,29.85,1,2025-05-22 11:46:30.032872,0552785f-d5fd-4dc4-9a0d-ef6707f05500,RCPT300028,Mobile App,Postpaid,C,4280.41,53.72,,321.03,489.92,2898.04,1191,1244,53,Feb-2025,0.85,8,4.81,665.3
Angela Shelton,CUST500029,AEDC100029,MTR200029,40,"Lugbe, Abuja, Nigeria",42085,11,30181.99,Yes,4.46,13.15,0,2025-08-09 04:57:58.512903,e572f340-9194-4017-86bd-385f320e0a9e,RCPT300029,Cash,Postpaid,A,1942.39,30.2,,145.68,1903.7,35385.16,6573,6603,30,Jan-2025,0.87,5,8.09,325.07
Daniel Bryant,CUST500030,AEDC100030,MTR200030,36,"Gwagwalada, Abuja, Nigeria",54428,6,39287.9,No,4.45,27.67,0,2025-06-04 02:20:25.412477,75e368b8-1577-424c-80a7-bd5d39b8b6cc,RCPT300030,Transfer,Prepaid,C,5929.59,65.46,72717079979684343686,444.72,1820.8,28725.51,5721,5786,65,Jun-2025,0.94,3,5.5,439.89
Lori Williams,CUST500031,AEDC100031,MTR200031,34,"Gwagwalada, Abuja, Nigeria",81940,5,40322.38,No,3.0,44.07,4,2025-10-08 10:19:16.304854,6795795f-9ddf-4a8b-bdf8-7af7ff0df410,RCPT300031,Mobile App,Postpaid,C,7205.85,64.85,,540.44,694.12,3756.0,3544,3608,64,Feb-2025,0.88,9,15.18,348.16
Michelle Harris,CUST500032,AEDC100032,MTR200032,26,"Maitama, Abuja, Nigeria",70824,3,31414.43,No,3.48,43.62,2,2025-06-30 06:14:25.217101,a2b328b0-cccf-4616-9a3d-8bcd366f9661,RCPT300032,Cash,Prepaid,B,11880.76,100.24,56987845621586159775,891.06,1753.36,7698.41,6960,7060,100,Apr-2025,0.98,5,13.72,225.48
Vanessa Molina,CUST500033,AEDC100033,MTR200033,43,"Apo, Abuja, Nigeria",35772,11,14799.9,No,4.6,24.87,0,2026-02-09 16:01:19.325348,fb20f2aa-15cc-4507-87c1-a915effb783a,RCPT300033,POS,Postpaid,C,1229.09,13.69,,92.18,1477.37,27061.74,7792,7805,13,May-2025,1.0,1,2.96,91.1
Stephen Hinton,CUST500034,AEDC100034,MTR200034,31,"Karu, Abuja, Nigeria",120329,1,12066.44,No,4.57,26.98,0,2025-11-22 21:24:57.463648,4010de96-87cc-46fc-8e6c-5caf1d9eb0e3,RCPT300034,Transfer,Postpaid,A,9275.02,138.6,,695.63,1567.71,6228.96,4416,4554,138,Apr-2025,0.83,2,3.16,137.16
Jeffrey Fuller,CUST500035,AEDC100035,MTR200035,24,"Jabi, Abuja, Nigeria",175769,9,174560.53,No,3.96,29.43,2,2026-02-02 15:25:35.952479,5d29fdd0-e7e6-4c2b-9721-8ba6409d5735,RCPT300035,Mobile App,Prepaid,A,18651.7,270.45,60319163228544252173,1398.88,731.33,15540.33,3907,4177,270,Jun-2025,0.94,7,6.83,2442.51
Anthony Young,CUST500036,AEDC100036,MTR200036,28,"Asokoro, Abuja, Nigeria",50886,7,17687.41,Yes,4.78,22.47,0,2026-03-30 13:00:33.264158,2df7b7d6-d4af-4f71-bee9-9d0f4a418fc4,RCPT300036,POS,Prepaid,B,2489.21,21.58,17848638043827094439,186.69,1789.63,9844.82,6327,6348,21,Apr-2025,0.94,0,0.0,187.66
Kristin Barnes,CUST500037,AEDC100037,MTR200037,59,"Gwarinpa, Abuja, Nigeria",78762,10,105329.36,No,4.67,14.61,0,2025-08-30 20:49:10.680056,102bfdd2-0803-4aae-b47a-c3ff30438d43,RCPT300037,Transfer,Prepaid,B,10848.01,142.88,72974235115305706959,813.6,1397.12,21675.63,3254,3396,142,Feb-2025,0.93,5,3.62,1432.48
Gina Garcia,CUST500038,AEDC100038,MTR200038,42,"Gwarinpa, Abuja, Nigeria",30000,6,9966.72,No,3.13,42.62,3,2025-10-02 19:02:41.959571,e58c53c9-16f9-4a84-8b03-e4da727ac1a3,RCPT300038,POS,Prepaid,A,1688.09,15.85,09107198326998262360,126.61,1666.66,27441.2,5895,5910,15,May-2025,0.96,6,16.88,118.32
Tracie Mckinney,CUST500039,AEDC100039,MTR200039,47,"Karu, Abuja, Nigeria",30000,10,9987.04,Yes,3.73,40.93,2,2025-10-08 20:36:40.522167,25e33df1-eecd-47b7-a650-0f868c900d6a,RCPT300039,Mobile App,Prepaid,C,916.22,13.39,54699383244189766929,68.72,1986.2,42986.92,7525,7538,13,Mar-2025,0.94,7,9.14,70.45
Rebecca Cruz,CUST500040,AEDC100040,MTR200040,33,"Wuse, Abuja, Nigeria",30000,7,18025.56,Yes,3.37,22.31,3,2026-01-17 17:29:24.638750,ee4356c0-b3db-4628-8104-faee0864f7af,RCPT300040,Cash,Postpaid,C,1939.43,25.0,,145.46,1069.17,10579.0,2462,2487,25,Mar-2025,0.91,7,16.06,185.54
Natasha Dickerson,CUST500041,AEDC100041,MTR200041,25,"Gwagwalada, Abuja, Nigeria",63930,9,20876.68,No,3.55,43.25,3,2025-05-12 15:40:48.154330,c04f4f1b-84ca-4082-b326-1405485e461f,RCPT300041,POS,Prepaid,A,2636.46,20.64,08141463140505560170,197.73,2293.48,2856.81,6226,6246,20,Feb-2025,0.97,9,8.27,224.83
Kristen Schultz,CUST500042,AEDC100042,MTR200042,26,"Kurudu, Abuja, Nigeria",30000,4,10271.56,Yes,4.42,2.0,0,2025-05-11 03:10:51.373800,6344f74b-6d80-4771-aec1-63a17ee6eaad,RCPT300042,Cash,Prepaid,A,1970.88,28.46,91078302804969700296,147.82,2040.33,31784.72,3904,3932,28,Jun-2025,0.87,5,11.16,37.19
Colleen Cook,CUST500043,AEDC100043,MTR200043,34,"Karu, Abuja, Nigeria",30000,13,34544.52,No,4.23,38.18,1,2025-06-05 14:44:26.376477,db3ea308-d18d-4e24-b915-019333d4ed49,RCPT300043,POS,Postpaid,C,2663.97,37.99,,199.8,2213.76,19450.55,2539,2576,37,Mar-2025,0.82,4,3.71,517.05
Danielle Walker,CUST500044,AEDC100044,MTR200044,20,"Dutse, Abuja, Nigeria",39995,4,22429.69,No,4.47,26.47,1,2025-05-06 17:47:52.482836,a012b52a-bf25-4218-822f-b85d5640ae22,RCPT300044,POS,Prepaid,A,4425.59,44.26,74458231767093546535,331.92,1095.33,6290.53,1626,1670,44,Apr-2025,1.0,1,1.39,108.07
Danielle Walton,CUST500045,AEDC100045,MTR200045,34,"Karu, Abuja, Nigeria",57827,4,11288.99,No,3.18,32.27,5,2025-08-24 10:17:46.857075,0cd41c6e-e40f-48ae-a648-ee082d312319,RCPT300045,Transfer,Postpaid,A,2985.79,41.89,,223.93,1765.4,25955.25,7025,7066,41,May-2025,0.86,7,9.86,143.31
Laura Galloway,CUST500046,AEDC100046,MTR200046,25,"Wuse, Abuja, Nigeria",106129,7,109612.65,No,2.92,38.49,4,2025-11-10 14:21:56.173653,dabc6d7c-53e1-4590-a4be-48129e8df24a,RCPT300046,Transfer,Postpaid,C,11616.87,93.65,,871.27,1554.23,15502.35,3379,3472,93,Mar-2025,0.76,9,17.96,632.16
Michelle English,CUST500047,AEDC100047,MTR200047,34,"Asokoro, Abuja, Nigeria",30000,6,20900.79,No,4.33,13.27,2,2025-04-11 08:57:16.060732,28d342ba-62a9-4210-82b3-9cedfa12201d,RCPT300047,Cash,Postpaid,A,3657.04,50.35,,274.28,918.11,26929.0,6209,6259,50,May-2025,0.9,2,2.81,261.48
Lynn Hodge,CUST500048,AEDC100048,MTR200048,33,"Maitama, Abuja, Nigeria",61907,4,29969.5,No,3.61,44.19,2,2025-11-30 00:10:06.835423,718a8045-f8ba-4941-a3b8-fa4f83aca2e6,RCPT300048,Mobile App,Prepaid,C,8047.77,107.83,92790558358296584824,603.58,873.73,2364.3,4802,4909,107,May-2025,0.92,4,10.96,456.67
Megan Davis,CUST500049,AEDC100049,MTR200049,58,"Asokoro, Abuja, Nigeria",98314,7,60113.7,Yes,3.31,38.72,3,2025-04-15 09:00:11.621785,b341e116-6b57-4896-bdeb-8f03096903ee,RCPT300049,Cash,Postpaid,C,6299.72,55.34,,472.48,1133.72,67186.19,7174,7229,55,Jun-2025,0.9,13,14.11,339.79
Kimberly Mclaughlin,CUST500050,AEDC100050,MTR200050,45,"Dutse, Abuja, Nigeria",30000,11,31975.52,No,4.1,41.87,2,2025-05-09 23:54:59.443897,4caa26c4-28ef-4ba3-a1d2-b577cb7eb48a,RCPT300050,Cash,Postpaid,A,3460.81,33.68,,259.56,1477.62,17331.35,2292,2325,33,Mar-2025,0.84,1,1.65,353.18
Scott Gill,CUST500051,AEDC100051,MTR200051,38,"Wuse, Abuja, Nigeria",200687,9,268239.11,Yes,4.4,47.18,0,2025-09-06 19:26:05.544900,5ec459de-527c-4c6e-8649-3ef29f5ac062,RCPT300051,POS,Prepaid,C,34487.31,335.65,94559075274793156608,2586.55,1034.56,62717.75,3663,3998,335,Jun-2025,0.89,3,2.63,2994.52
Juan Trujillo,CUST500052,AEDC100052,MTR200052,33,"Gwarinpa, Abuja, Nigeria",33685,1,4546.35,Yes,4.78,21.78,0,2025-12-16 12:30:59.339196,c57159ef-ac65-4d93-8f98-ac4a5f49c961,RCPT300052,Cash,Prepaid,A,5256.66,77.88,55696491768684270379,394.25,1321.23,4970.83,4965,5042,77,Feb-2025,0.93,0,0.0,84.37
Antonio Vasquez,CUST500053,AEDC100053,MTR200053,27,"Wuse, Abuja, Nigeria",67220,7,48772.61,No,4.16,26.3,1,2025-07-24 16:50:17.944170,76163167-7a2a-4b7a-8327-0403101e5cc9,RCPT300053,Transfer,Postpaid,B,7528.96,88.67,,564.67,1794.82,15487.74,1404,1492,88,Mar-2025,0.94,4,7.45,693.48
Austin King,CUST500054,AEDC100054,MTR200054,27,"Wuse, Abuja, Nigeria",34257,11,11852.44,No,4.56,23.66,1,2025-12-13 19:48:21.082985,62e0d013-1185-4798-9b8a-54503cf199a5,RCPT300054,Mobile App,Postpaid,B,1113.6,8.73,,83.52,788.71,5719.23,2648,2656,8,Apr-2025,0.96,0,0.0,206.19
Kimberly Baker,CUST500055,AEDC100055,MTR200055,35,"Lugbe, Abuja, Nigeria",68851,1,4397.95,Yes,3.58,37.07,4,2026-03-23 12:20:24.083529,426c3104-191f-4c36-9b21-c24fd9c9500b,RCPT300055,Cash,Prepaid,A,4278.4,34.12,22658634937295655718,320.88,1709.06,11951.36,2249,2283,34,May-2025,0.89,7,5.04,58.59
Diane Rosales,CUST500056,AEDC100056,MTR200056,41,"Dutse, Abuja, Nigeria",95375,8,58110.42,No,4.7,29.59,0,2025-10-04 20:02:34.078843,0e42fd66-9040-441d-b1be-90b0fb61e540,RCPT300056,Mobile App,Prepaid,C,5481.41,57.63,64880144478569422600,411.11,1351.04,18116.54,4096,4153,57,Feb-2025,0.9,0,0.0,535.46
Christopher Adams,CUST500057,AEDC100057,MTR200057,48,"Kurudu, Abuja, Nigeria",35729,6,19458.65,No,4.5,21.64,1,2026-02-17 16:52:26.405512,201cb2d3-f3b9-4fc3-a869-212f93585d59,RCPT300057,Mobile App,Postpaid,A,3416.3,31.0,,256.22,1770.23,2405.82,6810,6841,31,May-2025,0.84,2,1.73,145.29
Tara Sherman,CUST500058,AEDC100058,MTR200058,34,"Dutse, Abuja, Nigeria",81073,13,62982.73,No,4.59,37.92,0,2025-05-29 22:08:44.368047,be465cfc-2beb-42a1-b1ff-68b9432003e7,RCPT300058,Transfer,Postpaid,A,5789.06,57.65,,434.18,696.12,21205.39,1540,1597,57,May-2025,0.94,1,0.67,701.79
Melissa Jackson,CUST500059,AEDC100059,MTR200059,43,"Jabi, Abuja, Nigeria",37579,6,30869.64,No,4.34,37.65,1,2025-12-02 08:52:56.091786,aa384306-85e3-4b12-8788-cb3df30f3831,RCPT300059,Mobile App,Prepaid,C,4998.62,60.71,91447016196693450316,374.9,1351.89,11460.29,1336,1396,60,Apr-2025,0.92,2,1.69,377.1
John Morrison,CUST500060,AEDC100060,MTR200060,48,"Gwagwalada, Abuja, Nigeria",47705,9,21391.35,No,3.14,41.61,5,2025-09-09 21:37:00.701121,5c5d5f61-39ff-4f33-a1fd-62c62fe3291f,RCPT300060,Transfer,Prepaid,B,2591.71,27.27,16281455813557265098,194.38,708.17,16382.78,4425,4452,27,May-2025,0.96,5,8.79,302.82
Alex Wolfe,CUST500061,AEDC100061,MTR200061,50,"Apo, Abuja, Nigeria",36176,4,18749.32,Yes,3.16,31.06,4,2025-04-21 19:35:09.407246,829a65cf-97c3-43e4-ade1-f637286a179c,RCPT300061,Mobile App,Prepaid,B,3816.86,32.1,95546814570367265516,286.26,855.4,44584.68,5584,5616,32,May-2025,1.0,8,14.64,241.66
Kathleen Pittman,CUST500062,AEDC100062,MTR200062,49,"Asokoro, Abuja, Nigeria",30000,3,11535.44,No,4.32,35.96,0,2025-05-06 18:21:56.052375,1153318d-56c4-420f-a610-047e8b8c9ab3,RCPT300062,Transfer,Postpaid,A,3109.22,35.55,,233.19,439.08,15070.35,6443,6478,35,Apr-2025,0.93,7,6.4,94.15
Anna Cisneros,CUST500063,AEDC100063,MTR200063,50,"Dutse, Abuja, Nigeria",72446,9,40356.58,No,3.55,42.14,4,2025-08-05 22:30:16.189224,b63d6261-756b-48b3-9c87-7d617007da3a,RCPT300063,Cash,Prepaid,C,3366.68,26.74,55935208168251714429,252.5,648.54,14036.2,7381,7407,26,Mar-2025,0.93,5,4.63,222.22
Erin Jones,CUST500064,AEDC100064,MTR200064,40,"Gwagwalada, Abuja, Nigeria",45700,8,46209.14,No,3.86,28.16,3,2025-05-19 06:38:31.147876,7c637e93-23d9-4a17-a804-5f1256b7011e,RCPT300064,Mobile App,Postpaid,A,6432.49,51.4,,482.44,2444.05,13923.3,5240,5291,51,Jan-2025,0.93,2,5.15,514.37
Heidi Hartman,CUST500065,AEDC100065,MTR200065,18,"Dutse, Abuja, Nigeria",50156,12,72671.86,No,3.7,48.4,3,2025-09-15 10:37:09.383966,65a5fd37-9e58-42c2-bdda-baf315b355f6,RCPT300065,Cash,Prepaid,B,6088.61,73.3,63603152830604646616,456.65,664.92,18309.21,5226,5299,73,Jan-2025,0.86,4,4.33,867.97
Garrett Blair,CUST500066,AEDC100066,MTR200066,29,"Kubwa, Abuja, Nigeria",30000,6,26774.86,No,4.23,9.6,1,2025-10-20 07:07:59.634873,0adcf4e8-f6ff-420e-b879-12c2f67916ae,RCPT300066,Cash,Prepaid,C,5045.96,85.23,17319725559417388190,378.45,2032.02,19652.65,2160,2245,85,Apr-2025,1.0,4,9.49,562.99
Nancy Reed,CUST500067,AEDC100067,MTR200067,28,"Wuse, Abuja, Nigeria",40225,8,37434.39,No,4.0,30.64,0,2025-10-10 07:33:19.762299,928ef395-b633-46db-b6d3-c9a5da9faf5d,RCPT300067,Mobile App,Prepaid,B,4105.1,40.99,31597649470811671992,307.88,1203.9,28087.91,5937,5977,40,Mar-2025,0.99,6,13.82,390.51
Emma Elliott,CUST500068,AEDC100068,MTR200068,36,"Gwagwalada, Abuja, Nigeria",30000,5,15300.82,Yes,4.54,45.93,0,2025-07-05 13:42:08.145785,a3103de5-4b4b-4562-8f78-b9ca61976558,RCPT300068,POS,Postpaid,A,3537.38,41.85,,265.3,1840.54,40165.04,7859,7900,41,Jan-2025,0.93,0,0.0,185.77
Maria Gallegos,CUST500069,AEDC100069,MTR200069,55,"Gwarinpa, Abuja, Nigeria",30000,9,37451.96,No,2.99,42.59,6,2025-12-30 02:23:10.120796,216c21c0-95e7-4bd6-9d0b-2c4d790d8c12,RCPT300069,POS,Postpaid,A,4057.57,41.19,,304.32,2282.39,21051.39,6139,6180,41,Jan-2025,0.87,8,7.72,353.76
Jacob Sanchez,CUST500070,AEDC100070,MTR200070,54,"Gwarinpa, Abuja, Nigeria",67334,10,79025.61,Yes,4.85,9.12,0,2025-07-28 16:07:18.094125,7d29f7c0-7fee-44eb-a8a5-c08f07a160e8,RCPT300070,POS,Postpaid,A,5668.93,45.62,,425.17,2137.6,39755.84,6062,6107,45,Feb-2025,0.94,2,1.16,570.52
